timestamp	state	soc_percent	battery_voltage_v	battery_current_a	battery_temp_c	power_kw	soh_percent	battery_degradation_percent	vehicle_speed_kmph	state_refined
1/1/2026 0:00	Idle	82	391.5	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:00	Idle	82	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:00	Idle	82	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:00	Idle	81.999	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:00	Idle	81.999	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:00	Idle	81.999	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.999	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.998	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.998	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.998	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.998	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:01	Idle	81.997	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.997	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.997	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.997	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.997	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.996	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:02	Idle	81.996	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.996	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.996	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.995	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.995	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.995	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:03	Idle	81.995	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.994	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.994	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.994	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.994	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.994	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:04	Idle	81.993	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.993	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.993	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.993	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.992	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.992	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:05	Idle	81.992	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.992	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.991	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.991	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.991	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.991	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:06	Idle	81.991	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.99	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.99	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.99	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.99	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.989	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:07	Idle	81.989	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:08	Idle	81.989	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:08	Idle	81.989	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:08	Idle	81.989	391.49	-0.12	26	-0.047	95	5	0	Idle
1/1/2026 0:08	Idle	81.988	391.49	-0.12	26	-0.047	95	5	0	Idle
