timestamp,state_refined,state,soh_percent,battery_degradation_percent,soc_percent,vehicle_speed_kmph,battery_current_a,battery_voltage_v,battery_temp_c,power_kw
2026-01-01 00:00:00,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:00:10,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:00:20,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:00:30,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:00:40,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:00:50,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:00,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:10,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:20,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:30,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:40,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:01:50,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:00,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:10,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:20,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:30,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:40,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:02:50,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:00,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:10,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:20,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:30,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:40,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:03:50,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:04:00,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:04:10,Idle,Idle,100,0,80,0,-0.1,395,25,-0.04
2026-01-01 00:04:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:04:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:04:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:04:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:05:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:06:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:07:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:08:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:09:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:10:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:20,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:30,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:40,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:11:50,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:12:00,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
2026-01-01 00:12:10,Idle,Idle,100,0,79.999,0,-0.1,395,25,-0.04
